,Dataline,Play,PlayerLinenumber,ActSceneLine,Player,PlayerLine
103545,103546,Twelfth Night,5.0,2.1.25,SEBASTIAN,"overfar believe that, yet thus far I will boldly"
103546,103547,Twelfth Night,5.0,2.1.26,SEBASTIAN,"publish her, she bore a mind that envy could not but"
103547,103548,Twelfth Night,5.0,2.1.27,SEBASTIAN,"call fair. She is drowned already, sir, with salt"
103548,103549,Twelfth Night,5.0,2.1.28,SEBASTIAN,"water, though I seem to drown her remembrance again with more."
103549,103550,Twelfth Night,6.0,2.1.29,ANTONIO,"Pardon me, sir, your bad entertainment."
103550,103551,Twelfth Night,7.0,2.1.30,SEBASTIAN,"O good Antonio, forgive me your trouble."
103551,103552,Twelfth Night,8.0,2.1.31,ANTONIO,"If you will not murder me for my love, let me be"
103552,103553,Twelfth Night,8.0,2.1.32,ANTONIO,your servant.
103553,103554,Twelfth Night,9.0,2.1.33,SEBASTIAN,"If you will not undo what you have done, that is,"
103554,103555,Twelfth Night,9.0,2.1.34,SEBASTIAN,"kill him whom you have recovered, desire it not."
103555,103556,Twelfth Night,9.0,2.1.35,SEBASTIAN,"Fare ye well at once: my bosom is full of kindness,"
103556,103557,Twelfth Night,9.0,2.1.36,SEBASTIAN,"and I am yet so near the manners of my mother, that"
103557,103558,Twelfth Night,9.0,2.1.37,SEBASTIAN,upon the least occasion more mine eyes will tell
103558,103559,Twelfth Night,9.0,2.1.38,SEBASTIAN,tales of me. I am bound to the Count Orsino's court: farewell.
103559,103560,Twelfth Night,9.0,,SEBASTIAN,Exit
103560,103561,Twelfth Night,10.0,2.1.39,ANTONIO,The gentleness of all the gods go with thee!
103561,103562,Twelfth Night,10.0,2.1.40,ANTONIO,"I have many enemies in Orsino's court,"
103562,103563,Twelfth Night,10.0,2.1.41,ANTONIO,Else would I very shortly see thee there.
103563,103564,Twelfth Night,10.0,2.1.42,ANTONIO,"But, come what may, I do adore thee so,"
103564,103565,Twelfth Night,10.0,2.1.43,ANTONIO,"That danger shall seem sport, and I will go."
103565,103566,Twelfth Night,10.0,,ANTONIO,Exit
103566,103567,Twelfth Night,10.0,,ANTONIO,SCENE II. A street.
103567,103568,Twelfth Night,10.0,,ANTONIO,"Enter VIOLA, MALVOLIO following"
103568,103569,Twelfth Night,1.0,2.2.1,MALVOLIO,Were not you even now with the Countess Olivia?
103569,103570,Twelfth Night,2.0,2.2.2,VIOLA,"Even now, sir, on a moderate pace I have since"
103570,103571,Twelfth Night,2.0,2.2.3,VIOLA,arrived but hither.
103571,103572,Twelfth Night,3.0,2.2.4,MALVOLIO,"She returns this ring to you, sir: you might have"
103572,103573,Twelfth Night,3.0,2.2.5,MALVOLIO,"saved me my pains, to have taken it away yourself."
103573,103574,Twelfth Night,3.0,2.2.6,MALVOLIO,"She adds, moreover, that you should put your lord"
